id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;id_reservatorio;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
SE;Sudeste/Centro-Oeste;RES;DOCE;SUDESTE;DCSACM;SANTONIO CM;26.0;193.0;2025-01-01;361.0799865722656;;;313.0;;248.0;;315.0;67.0;;;;;;
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;SASGCM;SALTO GRANDE CM;27.0;134.0;2025-01-01;354.3500061035156;;78.94000244140625;124.75;80.0;1.0;;81.0;;409.2200012207031;;409.2200012207031;-0.08500000089406967;0.17000000178813934;372.8399963378906
SE;Sudeste/Centro-Oeste;RCU;DOCE;SUDESTE;DCPORT;PORTO ESTRELA;28.0;135.0;2025-01-01;256.4599914550781;206.47999572753906;86.19999694824219;343.1700134277344;161.0;189.0;;350.0;;412.010009765625;;0.0;-0.04600000008940697;0.1899999976158142;-3.8499999046325684
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;DCUBAG;BAGUARI;29.0;141.0;2025-01-01;184.72999572753906;166.86000061035156;44.16999816894531;1401.9000244140625;383.0;1031.0;0.0;1414.0;;1326.780029296875;;324.29998779296875;-0.04399999976158142;3.4700000286102295;221.30999755859375
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;DCAIMO;AIMORES;30.0;143.0;2025-01-01;89.70999908447266;63.599998474121094;29.0;1728.0799560546875;942.0;818.0;16.0;1776.0;;1469.6199951171875;;138.67999267578125;-0.1509999930858612;4.577400207519531;165.5399932861328
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;DCMASC;MASCARENHAS;31.0;144.0;2025-01-01;61.029998779296875;42.59000015258789;123.51000213623047;2021.0;831.0;1190.0;;2021.0;;1716.2099609375;;248.1999969482422;-0.05000000074505806;5.1697001457214355;259.3800048828125
SE;Sudeste/Centro-Oeste;RCU;GRANDE;PARANA;GRCAMA;CAMARGOS;32.0;1.0;2025-01-01;909.72998046875;885.6300048828125;67.95999908447266;321.260009765625;137.0;0.0;;137.0;;298.7900085449219;;298.7900085449219;0.14000000059604645;0.20739999413490295;321.6099853515625
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRITUT;ITUTINGA;33.0;2.0;2025-01-01;885.4099731445312;857.3699951171875;86.25;138.31399536132812;142.0;0.0;0.0;142.0;;298.7900085449219;;0.0;;;0.0
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRFUNI;FUNIL-MG;34.0;4.0;2025-01-01;807.9400024414062;768.6699829101562;69.9000015258789;502.2099914550781;403.0;119.0;;522.0;;601.9500122070312;;314.0899963378906;0.17499999701976776;0.8574000000953674;384.0299987792969
SE;Sudeste/Centro-Oeste;RCU;GRANDE;PARANA;GRFURN;FURNAS;35.0;6.0;2025-01-01;759.3800048828125;670.260009765625;40.16999816894531;2498.489990234375;153.0;0.0;0.0;153.0;;2000.1199951171875;;1502.6199951171875;9.107999801635742;3.9851999282836914;2154.510009765625
SE;Sudeste/Centro-Oeste;RCU;GRANDE;PARANA;GRMMOR;M. MORAES;36.0;7.0;2025-01-01;664.030029296875;621.5;80.16999816894531;435.3500061035156;275.0;0.0;1.0;275.0;;2260.340087890625;;249.61000061035156;2.1679999828338623;4.58519983291626;284.8699951171875
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRLCBA;L. C. BARRETO;37.0;8.0;2025-01-01;621.6199951171875;557.3200073242188;77.77999877929688;308.3299865722656;225.0;0.0;0.0;225.0;;2288.9599609375;;57.599998474121094;0.3440000116825104;4.645199775695801;32.4900016784668
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRJAGU;JAGUARA;38.0;9.0;2025-01-01;557.4199829101562;511.69000244140625;64.0;249.6699981689453;208.0;0.0;;208.0;;2284.60009765625;;23.84000015258789;0.27799999713897705;4.685200214385986;19.780000686645508
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRIGAR;IGARAPAVA;39.0;10.0;2025-01-01;511.9700012207031;494.5299987792969;42.029998779296875;320.8299865722656;325.0;0.0;0.0;325.0;;2287.570068359375;;68.19999694824219;0.4569999873638153;4.795199871063232;84.2300033569336
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRVGRA;VOLTA GRANDE;40.0;11.0;2025-01-01;494.3800048828125;467.1300048828125;63.810001373291016;408.8500061035156;432.0;0.0;;432.0;;2343.969970703125;;152.27999877929688;1.8589999675750732;4.975200176239014;69.94999694824219
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRPCOL;P. COLOMBIA;41.0;12.0;2025-01-01;466.8699951171875;443.4800109863281;79.95999908447266;595.9400024414062;628.0;0.0;0.0;628.0;;2550.169921875;;304.9100036621094;1.3890000581741333;6.527400016784668;148.1300048828125
